OBJECTID,BoroCD,Shape__Area,Shape__Length
1,308,45603787.1250975,38232.8866492214
2,410,172077375.301768,105822.376914018
3,164,38312378.5976534,32721.0976269442
4,206,42664319.4430237,35875.7096839028
5,480,32777561.5111341,47338.7404539108
6,105,43790039.8648065,35288.3342981288
7,210,179019825.537124,268202.824924461
8,412,267332582.604797,65926.0929146713
9,104,49310051.9137776,67546.0454574412
10,107,53152583.2087812,39863.7032949406
11,302,79338252.8335104,74158.8760718441
12,303,79461680.8951883,36213.6753885176
13,309,45314980.5948741,29932.0840387268
14,355,26144172.7099627,23961.3953212195
15,503,600327313.957016,188967.300245352
16,106,38730043.1832428,42833.6886854282
17,101,41692711.7356405,69093.8524844711
18,595,54532054.11299,109771.878127448
19,301,131695200.003969,69194.8098377664
20,109,41895775.0178185,34959.2229709709
21,108,55215028.901309,53753.3538144236
22,207,53307894.2702408,44800.8493578085
23,317,93818430.7518363,43327.3548909788
24,306,85501531.2048948,82147.9330369187
25,307,104126438.360393,87448.4437056899
26,481,47558885.4656178,53812.054058973
27,212,154907044.628832,84115.6277706692
28,211,100315122.002392,45751.6483338106
29,227,31430883.5988503,28402.4951604407
30,409,107378544.448536,50771.83276875
31,408,207557824.65663,70114.3664012062
32,411,260361286.710934,103435.410674805
33,305,155483208.579465,65091.1325772542
34,316,51771102.476145,32977.5966808329
35,413,350471329.004,140570.297875762
36,483,191997998.918922,106865.598347784
37,208,92076274.5802598,47810.4827136195
38,226,50565042.1740961,32824.8377255529
39,112,77962768.1672935,54712.9264553529
40,414,195576600.970734,210918.176019823
41,312,99524806.3000195,52244.0177939781
42,314,82174945.0451727,49296.7850232348
43,315,131648801.551064,115425.81895678
44,110,39088590.6873352,35851.3751207166
45,313,88185190.7384582,65787.3001534247
46,484,120185760.232713,227190.544162323
47,501,377233931.14369,153750.715460978
48,502,591526560.09144,142728.486520112
49,228,92938101.5498563,122141.651736843
50,111,66146025.566884,59502.8908395403
51,401,171443322.233986,91025.4969487816
52,407,328287975.080304,145357.125788492
53,102,37724014.466055,35009.7164862798
54,103,46879867.1582661,30508.6397506111
55,402,140010108.818055,72490.0384619811
56,403,83475496.5696537,41713.4824572933
57,404,65739609.3616486,37018.3838702723
58,318,235426386.924424,188021.836853836
59,356,130178877.53355,255177.485899249
60,406,82703179.8409691,42767.6024392376
61,482,24256979.5236651,31981.5947623663
62,201,60399799.9616241,33341.8720725482
63,202,61809181.1359239,48502.438285201
64,203,44797246.8086548,33499.6126301561
65,209,114283983.667891,62243.2111166604
66,310,111345166.147154,44781.8296807538
67,311,103208262.188072,51534.148408392
68,204,55522132.3656616,31358.4510320336
69,205,38316983.3057404,29443.0472592531
70,304,56662433.8349819,37007.8110281563
71,405,210395280.451525,70004.6321003198
